As	O 0 2
nonendemic	B-KP 1353 1363
areas	I-KP 1364 1369
are	O 1370 1373
actually	O 1374 1382
caused	O 1383 1389
by	O 1390 1392
other	O 1393 1398
conditions	O 1399 1409
)	 O 1409 1410
.	 O 1410 1411

This	O 1412 1416
finding	O 1417 1424
is	O 1425 1427
consistent	O 1428 1438
with	O 1439 1443
a	O 1444 1445
higher	O 1446 1452
risk	O 1453 1457
of	O 1458 1460
misdiagnosis	O 1461 1473
in	O 1474 1476
nonendemic	B-KP 1477 1487
areas	I-KP 1488 1493
,	 O 1493 1494
a	O 1495 1496
consequence	O 1497 1508
of	O 1509 1511
the	O 1512 1515
effect	O 1516 1522
of	O 1523 1525
prior	O 1526 1531
probability	O 1532 1543
on	O 1544 1546
the	O 1547 1550
predictive	O 1551 1561
value	O 1562 1567
of	O 1568 1570
clinical	O 1571 1579
and	O 1580 1583
laboratory	O 1584 1594
findings	O 1595 1603
.	 O 1603 1604
[	 O 1605 1606
89	O 1606 1608
]	 O 1608 1609
