Potential	O 0 9
(	 O 1124 1125
Figure	O 1125 1131
4	O 1132 1133
)	 O 1133 1134
.	 O 1134 1135

A	O 1136 1137
transmission-blocking	B-KP 1138 1159
anti-tick	I-KP 1160 1169
vaccine	I-KP 1170 1177
could	O 1178 1183
potentially	O 1184 1195
address	O 1196 1203
that	O 1204 1208
shortcoming	O 1209 1220
,	 O 1220 1221
but	O 1222 1225
only	O 1226 1230
if	O 1231 1233
it	O 1234 1236
proves	O 1237 1243
to	O 1244 1246
act	O 1247 1250
quickly	O 1251 1258
and	O 1259 1262
effectively	O 1263 1274
enough	O 1275 1281
on	O 1282 1284
an	O 1285 1287
infected	O 1288 1296
tick	O 1297 1301
to	O 1302 1304
prevent	O 1305 1312
or	O 1313 1315
substantially	O 1316 1329
reduce	O 1330 1336
the	O 1337 1340
likelihood	O 1341 1351
of	O 1352 1354
pathogen	B-KP 1355 1363
transmission	I-KP 1364 1376
occurring	O 1377 1386
before	O 1387 1393
the	O 1394 1397
tick	O 1398 1402
is	O 1403 1405
incapacitated	O 1406 1419
.	 O 1419 1420

These	O 1421 1426
urgently	O 1427 1435
needed	O 1436 1442
approaches	O 1443 1453
merit	O 1454 1459
greater	O 1460 1467
resources	O 1468 1477
to	O 1478 1480
expeditiously	O 1481 1494
move	O 1495 1499
them	O 1500 1504
forward	O 1505 1512
in	O 1513 1515
a	O 1516 1517
pipeline	O 1518 1526
from	O 1527 1531
prevention	O 1532 1542
concept	O 1543 1550
to	O 1551 1553
proven	O 1554 1560
solution	O 1561 1569
and	O 1570 1573
become	O 1574 1580
,	 O 1580 1581
should	O 1582 1588
they	O 1589 1593
be	O 1594 1596
successful	O 1597 1607
,	 O 1607 1608
cornerstones	O 1609 1621
in	O 1622 1624
public	O 1625 1631
health	O 1632 1638
programs	O 1639 1647
to	O 1648 1650
reduce	O 1651 1657
I	B-KP 1658 1659
.	 I-KP 1659 1660
scapularis-borne	I-KP 1661 1677
infections	I-KP 1678 1688
.	 O 1688 1689

