vaccine	O	709,716
with	O	717,721
aluminium	B-KP	722,731
hydroxide	I-KP	732,741
adjuvant	I-KP	742,750
)	O	750,751
28	O	752,754
days	O	755,759
apart	O	760,765
,	O	765,766
with	O	767,771
a	O	772,773
booster	O	774,781
at	O	782,784
6	O	785,786
months	O	787,793
or	O	794,796
9	O	797,798
to	O	799,801
12	O	802,804
months	O	805,811
.	O	811,812

In	O	813,815
seronegative	B-KP	816,828
people	I-KP	829,835
,	O	835,836
the	O	837,840
antibody	O	841,849
responses	O	850,859
induced	O	860,867
by	O	868,870
the	O	871,874
dose	O	875,879
formulations	O	880,892
were	O	893,897
similar	O	898,905
(p=0.062;	O	906,915
range	O	916,921
for	O	922,925
30	O	926,928
μg	O	929,931
,	O	931,932
3799	O	933,937
to	O	938,940
6937	O	941,945
,	O	945,946
for	O	947,950
60	O	951,953
μg	O	954,956
,	O	956,957
4575	O	958,962
to	O	963,965
8543	O	966,970
)	O	970,971
.	O	971,972

In	O	973,975
seropositive	B-KP	976,988
people	I-KP	989,995
,	O	995,996
the	O	997,1000
60	O	1001,1003
μg	O	1004,1006
dose	O	1007,1011
(	O	1012,1013
range	O	1013,1018
,	O	1018,1019
4895	O	1020,1024
to	O	1025,1027
9435	O	1028,1032
)	O	1032,1033
resulted	O	1034,1042
in	O	1043,1045
significantly	O	1046,1059
higher	O	1060,1066
antibody	O	1067,1075
response	O	1076,1084
than	O	1085,1089
the	O	1090,1093
30	O	1094,1096
μg	O	1097,1099
dose	O	1100,1104
(	O	1105,1106
range	O	1106,1111
,	O	1111,1112
2413	O	1113,1117
to	O	1118,1120
4371	O	1121,1125
;	O	1125,1126
p=0.0001).	O	1127,1137

The	O	1138,1141
booster	O	1142,1149
response	O	1150,1158
was	O	1159,1162
effective	O	1163,1172
at	O	1173,1175
both	O	1176,1180
time	O	1181,1185
points	O	1186,1192
,	O	1192,1193
but	O	1194,1197
more	O	1198,1202
so	O	1203,1205
when	O	1206,1210
administered	O	1211,1223
at	O	1224,1226
9	O	1227,1228
to	O	1229,1231
12	O	1232,1234
months	O	1235,1241
.	O	1241,1242

However	O	1243,1250
,	O	1250,1251
there	O	1252,1257
was	O	1258,1261
a	O	1262,1263
dose	O	1264,1268
effect	O	1269,1275
among	O	1276,1281
seropositive	B-KP	1282,1294
participants	I-KP	1295,1307
favouring	O	1308,1317
the	O	1318,1321
higher	O	1322,1328
(	O	1329,1330
60	O	1330,1332
μg	O	1333,1335
)	O	1335,1336
dose	O	1337,1341
(p=0.0359;	O	1342,1352
for	O	1353,1356
five	O	1357,1361
[	O	1362,1363
16	O	1363,1365
]	O	1365,1366
of	O	1367,1369
the	O	1370,1373
six	O	1374,1377
serotypes	O	1378,1387
,	O	1387,1388
(	O	1389,1390
range	O	1390,1395
28,735	O	1396,1402
to	O	1403,1405
42,381),	O	1406,1414
over	O	1415,1419
the	O	1420,1423
30	O	1424,1426
μg	O	1427,1429
dose	O	1430,1434
(	O	1435,1436
range	O	1436,1441
12,653	O	1442,1448
to	O	1449,1451
17,485).	O	1452,1460

[	O	1461,1462
17	O	1462,1464
]	O	1464,1465
