probe	O	1116,1121
for	O	1122,1125
20	O	1126,1128
to	O	1129,1131
25	O	1132,1134
hours9	O	1135,1141
,	O	1141,1142
l2	O	1143,1145
Blots	O	1146,1151
were	O	1152,1156
washed	O	1157,1163
in	O	1164,1166
2X	B-KP	1167,1169
SSC	I-KP	1170,1173
,	O	1173,1174
0.5%	O	1175,1179
SDS	O	1180,1183
twice	O	1184,1189
for	O	1190,1193
15	O	1194,1196
minutes	O	1197,1204
at	O	1205,1207
room	O	1208,1212
temperature	O	1213,1224
,	O	1224,1225
then	O	1226,1230
in	O	1231,1233
0.1%	O	1234,1238
SSC	O	1239,1242
,	O	1242,1243
0.5%	O	1244,1248
SDS	O	1249,1252
four	O	1253,1257
times	O	1258,1263
for	O	1264,1267
15	O	1268,1270
minutes	O	1271,1278
at	O	1279,1281
40	O	1282,1284
”	O	1284,1285
C	O	1286,1287
,	O	1287,1288
and	O	1289,1292
finally	O	1293,1300
in	O	1301,1303
0.1%	O	1304,1308
SSC	O	1309,1312
twice	O	1313,1318
for	O	1319,1322
15	O	1323,1325
minutes	O	1326,1333
at	O	1334,1336
40	O	1337,1339
”	O	1339,1340
C	O	1341,1342
.	O	1342,1343
Filters	O	1344,1351
were	O	1352,1356
then	O	1357,1361
exposed	O	1362,1369
to	O	1370,1372
Kodax	O	1373,1378
X-AR	O	1379,1383
fiti	O	1384,1388
(	O	1389,1390
Eastman	O	1390,1397
Kodak	O	1398,1403
,	O	1403,1404
Rochester	O	1405,1414
,	O	1414,1415
N.Y.)	O	1416,1421
with	O	1422,1426
a	O	1427,1428
Comex	O	1429,1434
Lighting	O	1435,1443
Plus	O	1444,1448
intensifying	O	1449,1461
screen	O	1462,1468
@	O	1469,1470
u	O	1470,1471
Pont	O	1472,1476
,	O	1476,1477
Boston	O	1478,1484
,	O	1484,1485
Mass	O	1486,1490
.	O	1490,1491
)	O	1491,1492
at	O	1493,1495
-70”	O	1496,1500
C	O	1501,1502
for	O	1503,1506
1	O	1507,1508
to	O	1509,1511
3	O	1512,1513
days	O	1514,1518
.	O	1518,1519

