Serum	B-KP 0 5
salt	I-KP 1084 1088
solution	I-KP 1089 1097
(HBSS),	B-KP 1098 1105
and	O 1106 1109
resuspended	O 1110 1121
in	O 1122 1124
20	O 1125 1127
times	O 1128 1133
the	O 1134 1137
original	O 1138 1146
culture	O 1147 1154
volume	O 1155 1161
in	O 1162 1164
HBSS.	O 1165 1170

The	O 1171 1174
washed	O 1175 1181
spirochaetes	I-KP 1182 1194
were	O 1195 1199
sonicated	O 1200 1209
on	O 1210 1212
ice	O 1213 1216
until	O 1217 1222
darkfield	O 1223 1232
microscopy	O 1233 1243
indicated	O 1244 1253
that	O 1254 1258
>85%	O 1259 1263
of	O 1264 1266
the	O 1267 1270
organisms	O 1271 1280
had	O 1281 1284
been	O 1285 1289
disrupted.	O 1290 1300

After	O 1301 1306
centrifugation	O 1307 1321
to	O 1322 1324
remove	O 1325 1331
fragments	O 1332 1341
and	O 1342 1345
whole	O 1346 1351
spirochaetes,	O 1352 1365
the	O 1366 1369
soluble	O 1370 1377
extract	O 1378 1385
was	O 1386 1389
aliquoted	O 1390 1399
and	O 1400 1403
stored	O 1404 1410
at	O 1411 1413
–20C.	O 1414 1419

Microtitre	O 1420 1430
plates	O 1431 1437
(Immulon	O 1438 1446
4,	O 1447 1449
Dynex,	O 1450 1456
Chantilly,	O 1457 1467
VA,	O 1468 1471
USA)	O 1472 1476
were	O 1477 1481
coated	O 1482 1488
with	O 1489 1493
250	O 1494 1497
mg	O 1498 1500
of	O 1501 1503
antigen	I-KP 1504 1511
per	O 1512 1515
well	O 1516 1520
and	O 1521 1524
allowed	O 1525 1532
to	O 1533 1535
dry.	O 1536 1540

The	O 1541 1544
plates	O 1545 1551
were	O 1552 1556
blocked	O 1557 1564
with	O 1565 1569
5%	O 1570 1572
donor	O 1573 1578
horse	O 1579 1584
serum,	O 1585 1591
1%	O 1592 1594
dextran	O 1595 1602
sulfate	O 1603 1610
in	O 1611 1613
PBS-Tween	O 1614 1623
20.	O 1624 1627

Sera	O 1628 1632
were	O 1633 1637
diluted	O 1638 1645
in	O 1646 1648
this	O 1649 1653
blocking	O 1654 1662
buffer	O 1663 1669
at	O 1670 1672
1:100,	O 1673 1679
added	O 1680 1685
to	O 1686 1688
wells	O 1689 1694
in	O 1695 1697
triplicate,	O 1698 1709
and	O 1710 1713
incubated	O 1714 1723
for	O 1724 1727
1	O 1728 1729
hour.	O 1730 1735

Bound	O 1736 1741
antibody	I-KP 1742 1750
was	O 1751 1754
detected	O 1755 1763
by	O 1764 1766
the	O 1767 1770
addition	O 1771 1779
of	O 1780 1782
alkaline	I-KP 1783 1791
phosphatase-conjugated	I-KP 1792 1814
goat	I-KP 1815 1819
antihuman	I-KP 1820 1829
IgG	I-KP 1830 1833
(Kirkegaard	O 1834 1845
&	O 1846 1847
Perry	O 1848 1853
Laboratories,	O 1854 1867
Gaithersburg,	O 1868 1881
MD,	O 1882 1885
USA),	O 1886 1891
as	O 1892 1894
recommended	O 1895 1906
by	O 1907 1909
the	O 1910 1913
manufacturer.	O 1914 1927

A	B-KP 1929 1930
p-nitrophenyl	I-KP 1931 1944
phosphate	I-KP 1945 1954
substrate	I-KP 1955 1964
in	I-KP 1965 1967
diethanolamine	I-KP 1968 1982
buffer	O 1983 1989
was	O 1990 1993
used	O 1994 1998
to	O 1999 2001
visualize	O 2002 2011
bound	O 2012 2017
secondary	I-KP 2018 2027
antibody	O 2028 2036
when	O 2037 2041
the	O 2042 2045
reactions	O 2046 2055
were	O 2056 2060
terminated	O 2061 2071
at	O 2072 2074
30	O 2075 2077
minutes,	O 2078 2086
and	O 2087 2090
read	O 2091 2095
promptly	O 2096 2104
at	O 2105 2107
l	O 2108 2109
=	O 2110 2111
405	O 2112 2115
nm.	O 2116 2119

Negative	O 2120 2128
control	O 2129 2136
sera	O 2137 2141
(n	O 2142 2144
=	O 2145 2146
6),	O 2147 2150
taken	O 2151 2156
from	O 2157 2161
laboratory	O 2162 2172
staff	O 2173 2178
members	O 2179 2186
with	O 2187 2191
no	O 2192 2194
history	O 2195 2202
of	B-KP 2204 2206
Lyme	I-KP 2207 2211
disease,	O 2212 2220
were	O 2221 2225
analysed	O 2226 2234
on	O 2235 2237
each	O 2238 2242
plate.	O 2243 2249

A	I-KP 2250 2251
serum	I-KP 2252 2257
sample	O 2258 2264
was	O 2265 2268
considered	O 2269 2279
reactive	O 2280 2288
if	O 2289 2291
its	O 2292 2295
mean	O 2296 2300
absorbance	O 2301 2311
exceeded	O 2312 2320
3	O 2321 2322
standard	O 2323 2331
deviations	O 2332 2342
of	O 2343 2345
the	O 2346 2349
mean	O 2350 2354
of	O 2355 2357
the	O 2358 2361
18	O 2362 2364
(6	O 2365 2367
x	O 2368 2369
3)	O 2370 2372
negative	O 2373 2381
control	O 2382 2389
wells,	O 2390 2396
calculated	O 2397 2407
for	O 2408 2411
each	O 2412 2416
microtitre	O 2417 2427
plate.	O 2428 2434

