Tick-borne	B-KP 0 10
examined	O 1081 1089
specimens	O 1090 1099
submitted	O 1100 1109
by	O 1110 1112
physicians	O 1113 1123
or	O 1124 1126
medical	O 1127 1134
groups	O 1135 1141
to	O 1142 1144
the	O 1145 1148
Fordham	O 1149 1156
University	O 1157 1167
Vector	O 1168 1174
Ecology	O 1175 1182
Laboratory	O 1183 1193
in	O 1194 1196
Westchester	O 1197 1208
County,	O 1209 1216
NY	O 1217 1219
between	O 1220 1227
1988	O 1228 1232
and	O 1233 1236
1990	O 1237 1241
for	O 1242 1245
tick	O 1246 1250
identification.	O 1251 1266

Among	O 1267 1272
802	O 1273 1276
submitted	O 1277 1286
specimens,	O 1287 1297
74.7%	O 1298 1303
were	O 1304 1308
blacklegged	O 1309 1320
ticks	O 1321 1326
(Ixodes	O 1327 1334
scapularis).	O 1335 1347

It	O 1348 1350
is	O 1351 1353
unclear,	O 1354 1362
however,	O 1363 1371
whether	O 1372 1379
all	O 1380 1383
of	O 1384 1386
these	O 1387 1392
specimens	O 1393 1402
were	O 1403 1407
initially	O 1408 1417
suspected	O 1418 1427
to	O 1428 1430
have	O 1431 1435
been	O 1436 1440
blacklegged	O 1441 1452
ticks	O 1453 1458
and	O 1459 1462
thus	O 1463 1467
whether	O 1468 1475
the	O 1476 1479
remaining	O 1480 1489
25.3%	O 1490 1495
were	O 1496 1500
incorrectly	O 1501 1512
identified.	O 1513 1524

Notably,	O 1525 1533
5.9%	O 1534 1538
of	O 1539 1541
specimens	O 1542 1551
submitted	O 1552 1561
for	O 1562 1565
tick	O 1566 1570
identification	O 1571 1585
were	O 1586 1590
non-tick	O 1591 1599
arthropods	O 1600 1610
including	O 1611 1620
beetles,	O 1621 1629
crab	O 1630 1634
lice,	O 1635 1640
and	O 1641 1644
head	O 1645 1649
lice.	O 1650 1655

It	O 1656 1658
is	O 1659 1661
also	O 1662 1666
unknown	O 1667 1674
how	O 1675 1678
well	O 1679 1683
this	O 1684 1688
sample	O 1689 1695
represents	O 1696 1706
tick	O 1707 1711
identification	O 1712 1726
by	O 1727 1729
providers	O 1730 1739
during	O 1740 1746
regular	O 1747 1754
clinical	O 1755 1763
practice	O 1764 1772
and	O 1773 1776
not	O 1777 1780
as	O 1781 1783
part	O 1784 1788
of	O 1789 1791
a	O 1792 1793
tick	O 1794 1798
identification	O 1799 1813
service.	O 1814 1822

